Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-09-2016,""2,938"",""15,304"",""11.06"",""35"",""1,440"",""0"",""0"",""0"",""0"""
"02-09-2016,""2,650"",""13,527"",""9.81"",""29"",""1,440"",""0"",""0"",""0"",""0"""
"03-09-2016,""2,121"",""8,928"",""6.45"",""28"",""1,440"",""0"",""0"",""0"",""0"""
"04-09-2016,""2,422"",""8,563"",""6.19"",""6"",""1,440"",""0"",""0"",""0"",""0"""
"05-09-2016,""2,973"",""14,130"",""10.22"",""49"",""1,440"",""0"",""0"",""0"",""0"""
"06-09-2016,""3,223"",""16,554"",""11.97"",""39"",""1,440"",""0"",""0"",""0"",""0"""
"07-09-2016,""2,527"",""10,999"",""7.95"",""30"",""1,180"",""221"",""35"",""4"",""899"""
"08-09-2016,""3,071"",""14,464"",""10.46"",""34"",""651"",""450"",""150"",""18"",""2,299"""
"09-09-2016,""2,987"",""13,832"",""10"",""36"",""402"",""473"",""104"",""23"",""2,185"""
"10-09-2016,""2,290"",""9,653"",""6.98"",""12"",""764"",""271"",""70"",""7"",""1,256"""
"11-09-2016,""2,467"",""8,507"",""6.15"",""11"",""849"",""334"",""76"",""4"",""1,504"""
"12-09-2016,""2,667"",""12,561"",""9.08"",""36"",""622"",""424"",""81"",""21"",""1,794"""
"13-09-2016,""2,783"",""10,600"",""7.66"",""30"",""740"",""469"",""69"",""3"",""1,925"""
"14-09-2016,""2,819"",""11,991"",""8.67"",""24"",""445"",""423"",""116"",""12"",""1,965"""
"15-09-2016,""2,478"",""8,647"",""6.25"",""14"",""628"",""303"",""61"",""32"",""1,493"""
"16-09-2016,""3,296"",""16,339"",""11.81"",""42"",""286"",""541"",""123"",""30"",""2,578"""
"17-09-2016,""2,670"",""10,487"",""7.58"",""19"",""456"",""343"",""124"",""13"",""1,751"""
"18-09-2016,""2,179"",""6,449"",""4.66"",""17"",""705"",""231"",""62"",""19"",""1,114"""
"19-09-2016,""3,000"",""11,139"",""8.05"",""19"",""686"",""420"",""130"",""21"",""2,170"""
"20-09-2016,""2,681"",""11,623"",""8.4"",""21"",""1,020"",""127"",""48"",""8"",""691"""
"21-09-2016,""2,475"",""8,426"",""6.09"",""15"",""1,440"",""0"",""0"",""0"",""0"""
"22-09-2016,""2,970"",""12,271"",""8.87"",""23"",""481"",""458"",""110"",""12"",""2,139"""
"23-09-2016,""2,266"",""9,951"",""7.19"",""17"",""694"",""353"",""40"",""8"",""1,302"""
"24-09-2016,""2,225"",""6,677"",""4.83"",""11"",""911"",""308"",""40"",""0"",""1,202"""
"25-09-2016,""2,749"",""11,947"",""8.64"",""13"",""489"",""442"",""77"",""22"",""1,881"""
"26-09-2016,""2,655"",""10,099"",""7.3"",""11"",""473"",""332"",""124"",""9"",""1,726"""
"27-09-2016,""2,619"",""10,399"",""7.52"",""13"",""480"",""341"",""102"",""23"",""1,684"""
"28-09-2016,""2,928"",""14,819"",""10.71"",""13"",""442"",""392"",""147"",""13"",""2,068"""
"29-09-2016,""2,673"",""11,177"",""8.08"",""29"",""515"",""360"",""84"",""31"",""1,749"""
"30-09-2016,""3,180"",""14,295"",""10.34"",""17"",""385"",""429"",""195"",""18"",""2,417"""
Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-09-2016,""0"",""0"",""0"",""0"""
"02-09-2016,""0"",""0"",""0"",""0"""
"03-09-2016,""0"",""0"",""0"",""0"""
"04-09-2016,""0"",""0"",""0"",""0"""
"05-09-2016,""0"",""0"",""0"",""0"""
"06-09-2016,""0"",""0"",""0"",""0"""
"07-09-2016,""0"",""0"",""0"",""0"""
"08-09-2016,""58"",""4"",""0"",""62"""
"09-09-2016,""379"",""20"",""2"",""399"""
"10-09-2016,""446"",""28"",""2"",""474"""
"11-09-2016,""0"",""0"",""0"",""0"""
"12-09-2016,""397"",""72"",""4"",""469"""
"13-09-2016,""0"",""0"",""0"",""0"""
"14-09-2016,""476"",""27"",""2"",""503"""
"15-09-2016,""387"",""48"",""4"",""435"""
"16-09-2016,""365"",""43"",""5"",""414"""
"17-09-2016,""429"",""43"",""3"",""472"""
"18-09-2016,""553"",""27"",""3"",""580"""
"19-09-2016,""0"",""0"",""0"",""0"""
"20-09-2016,""410"",""9"",""1"",""419"""
"21-09-2016,""0"",""0"",""0"",""0"""
"22-09-2016,""209"",""6"",""0"",""215"""
"23-09-2016,""462"",""44"",""2"",""509"""
"24-09-2016,""0"",""0"",""0"",""0"""
"25-09-2016,""389"",""49"",""6"",""439"""
"26-09-2016,""521"",""21"",""3"",""542"""
"27-09-2016,""444"",""40"",""3"",""484"""
"28-09-2016,""439"",""20"",""1"",""459"""
"29-09-2016,""396"",""13"",""1"",""409"""
"30-09-2016,""405"",""18"",""1"",""423"""
