Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-09-2016,""1,595"",""11,098"",""6.41"",""33"",""679"",""383"",""13"",""0"",""853"""
"02-09-2016,""1,622"",""12,017"",""6.95"",""31"",""906"",""388"",""21"",""0"",""887"""
"03-09-2016,""1,694"",""14,300"",""8.55"",""27"",""458"",""384"",""38"",""14"",""984"""
"04-09-2016,""1,483"",""9,199"",""5.32"",""21"",""801"",""337"",""0"",""0"",""724"""
"05-09-2016,""1,600"",""10,733"",""6.2"",""80"",""853"",""398"",""0"",""0"",""870"""
"06-09-2016,""1,285"",""5,489"",""3.17"",""11"",""986"",""202"",""0"",""0"",""439"""
"07-09-2016,""1,864"",""19,549"",""11.35"",""55"",""381"",""431"",""51"",""6"",""1,191"""
"08-09-2016,""1,484"",""8,269"",""4.78"",""31"",""760"",""316"",""0"",""0"",""693"""
"09-09-2016,""1,452"",""7,042"",""4.07"",""62"",""1,123"",""317"",""0"",""0"",""665"""
"10-09-2016,""1,140"",""1,832"",""1.06"",""4"",""1,160"",""120"",""0"",""0"",""235"""
"11-09-2016,""1,606"",""13,628"",""7.88"",""42"",""669"",""337"",""36"",""1"",""873"""
"12-09-2016,""1,577"",""11,382"",""6.58"",""43"",""879"",""372"",""0"",""0"",""820"""
"13-09-2016,""1,552"",""11,550"",""6.68"",""37"",""509"",""334"",""23"",""0"",""791"""
"14-09-2016,""1,668"",""16,292"",""9.54"",""38"",""509"",""290"",""59"",""16"",""888"""
"15-09-2016,""1,615"",""12,477"",""7.21"",""49"",""706"",""388"",""9"",""0"",""881"""
"16-09-2016,""1,651"",""12,259"",""7.09"",""46"",""854"",""414"",""14"",""0"",""934"""
"17-09-2016,""1,797"",""19,495"",""11.57"",""31"",""381"",""373"",""68"",""14"",""1,108"""
"18-09-2016,""1,241"",""3,794"",""2.19"",""10"",""688"",""189"",""0"",""0"",""369"""
"19-09-2016,""1,754"",""18,487"",""10.85"",""27"",""642"",""311"",""44"",""37"",""1,037"""
"20-09-2016,""1,891"",""20,006"",""11.68"",""5"",""720"",""452"",""49"",""5"",""1,220"""
"21-09-2016,""1,755"",""17,886"",""10.58"",""5"",""519"",""406"",""24"",""12"",""1,044"""
"22-09-2016,""1,813"",""17,837"",""10.43"",""40"",""597"",""432"",""40"",""4"",""1,131"""
"23-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"24-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"25-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"26-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"27-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"28-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"29-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
"30-09-2016,""972"",""0"",""0"",""0"",""1,440"",""0"",""0"",""0"",""0"""
Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-09-2016,""497"",""40"",""1"",""537"""
"02-09-2016,""0"",""0"",""0"",""0"""
"03-09-2016,""468"",""24"",""2"",""492"""
"04-09-2016,""428"",""49"",""4"",""480"""
"05-09-2016,""171"",""18"",""1"",""189"""
"06-09-2016,""0"",""0"",""0"",""0"""
"07-09-2016,""602"",""19"",""2"",""621"""
"08-09-2016,""539"",""25"",""1"",""566"""
"09-09-2016,""0"",""0"",""0"",""0"""
"10-09-2016,""0"",""0"",""0"",""0"""
"11-09-2016,""536"",""21"",""2"",""557"""
"12-09-2016,""0"",""0"",""0"",""0"""
"13-09-2016,""547"",""11"",""0"",""558"""
"14-09-2016,""541"",""12"",""0"",""553"""
"15-09-2016,""516"",""37"",""3"",""553"""
"16-09-2016,""0"",""0"",""0"",""0"""
"17-09-2016,""533"",""5"",""0"",""538"""
"18-09-2016,""613"",""43"",""6"",""656"""
"19-09-2016,""525"",""12"",""0"",""537"""
"20-09-2016,""0"",""0"",""0"",""0"""
"21-09-2016,""524"",""16"",""0"",""540"""
"22-09-2016,""491"",""29"",""1"",""520"""
"23-09-2016,""0"",""0"",""0"",""0"""
"24-09-2016,""0"",""0"",""0"",""0"""
"25-09-2016,""0"",""0"",""0"",""0"""
"26-09-2016,""0"",""0"",""0"",""0"""
"27-09-2016,""0"",""0"",""0"",""0"""
"28-09-2016,""0"",""0"",""0"",""0"""
"29-09-2016,""0"",""0"",""0"",""0"""
"30-09-2016,""0"",""0"",""0"",""0"""
