Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
15-07-2016,"1,997","8,738",5.88,32,740,297,0,0,910
16-07-2016,"2,010","8,268",5.56,13,692,259,6,5,890
17-07-2016,"1,769","5,623",3.78,7,744,212,0,0,620
18-07-2016,"1,871","7,833",5.27,40,744,220,0,0,721
19-07-2016,"2,394","17,054",11.48,39,691,173,36,99,"1,323"
20-07-2016,"2,160","10,145",6.83,30,668,299,29,13,"1,107"
21-07-2016,"2,578","18,857",12.69,50,574,344,36,50,"1,608"
22-07-2016,"2,658","13,994",9.42,14,566,403,52,20,"1,704"
23-07-2016,"2,879","18,551",12.49,62,391,470,61,37,"2,014"
24-07-2016,"2,175","11,597",7.8,26,565,290,44,4,"1,147"
25-07-2016,"2,378","13,921",9.37,47,593,433,0,0,"1,414"
26-07-2016,"2,324","15,793",10.63,31,624,314,32,33,"1,324"
27-07-2016,"1,730","5,200",3.5,15,777,189,0,0,560
28-07-2016,"2,376","17,035",11.46,46,559,338,20,29,"1,380"
29-07-2016,"2,378","15,251",10.26,45,714,232,48,55,"1,334"
30-07-2016,"1,936","6,445",4.34,14,739,215,13,10,798
31-07-2016,"1,646","3,614",2.43,14,654,141,0,0,433
01/8/16,"2,295","10,208",6.87,40,636,241,52,26,"1,226"
02/8/16,"2,389","14,012",10.54,29,653,204,26,68,"1,299"
03/8/16,"2,496","13,181",8.98,43,542,351,46,14,"1,516"
04/8/16,"2,498","13,536",9.11,56,475,422,46,10,"1,579"
05/8/16,"2,457","13,450",9.05,88,655,352,45,25,"1,483"
06/8/16,"1,892","6,036",4.06,10,824,236,0,0,743
07/8/16,"1,851","4,849",3.26,5,613,222,9,0,701
08/8/16,"2,175","9,981",6.72,36,667,283,25,19,"1,121"
09/8/16,"2,397","16,812",12.2,49,666,201,41,66,"1,315"
10/8/16,"1,943","8,092",5.45,50,661,229,20,1,828
11/8/16,"2,355","12,643",8.51,41,627,332,50,3,"1,343"
12/8/16,"2,008","8,008",5.39,29,695,272,11,1,921
13-08-2016,"1,909","4,716",3.17,22,652,270,0,0,785
14-08-2016,"1,939","6,911",4.65,21,645,205,33,2,814
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
15-07-2016,280,161,0,466,,,,,
16-07-2016,252,193,1,445,,,,,
17-07-2016,310,153,0,470,,,,,
18-07-2016,292,154,1,446,,,,,
19-07-2016,266,186,1,464,,,,,
20-07-2016,254,172,0,445,,,,,
21-07-2016,316,77,1,418,,,,,
22-07-2016,334,110,0,457,,,,,
23-07-2016,267,150,1,417,,,,,
24-07-2016,426,116,0,542,,,,,
25-07-2016,297,142,2,456,,,,,
26-07-2016,299,115,0,415,,,,,
27-07-2016,264,157,1,427
28-07-2016,305,172,2,491
29-07-2016,337,142,1,485
30-07-2016,252,184,2,436
31-07-2016,413,143,1,563
01/8/16,213,287,2,500
02/8/16,277,190,2,483
03/8/16,284,202,2,495
04/8/16,324,158,1,482
05/8/16,249,133,3,382
06/8/16,263,180,2,473
07/8/16,405,103,1,508
08/8/16,228,224,3,452
09/8/16,272,181,0,453
10/8/16,344,166,4,517
11/8/16,266,195,1,471
12/8/16,248,136,0,395
13-08-2016,350,162,1,512
14-08-2016,286,311,4,597
